date,open,high,close,low,vol,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2013-07-18,3.730,3.750,3.700,3.670,17872.31,-0.80,3.728,3.671,3.634,24803.54,26747.82,27192.36,0.43
2013-07-19,3.680,3.710,3.550,3.530,28461.54,-4.05,3.704,3.664,3.616,21779.99,26768.35,27304.88,0.69
2013-07-22,3.640,3.910,3.910,3.600,62771.22,10.14,3.736,3.707,3.631,30546.76,31136.81,28898.16,1.53
2013-07-23,4.100,4.110,4.000,3.920,178589.92,2.30,3.778,3.752,3.653,61887.46,47255.21,35907.06,4.34
2013-07-24,3.930,3.980,3.960,3.850,94783.26,-1.00,3.824,3.781,3.673,76495.65,53744.39,38864.96,2.31
2013-07-25,3.910,3.960,3.820,3.820,62332.73,-3.54,3.848,3.788,3.689,85387.73,55095.64,39963.33,1.52
2013-07-26,3.800,3.910,3.830,3.760,42026.15,0.26,3.904,3.804,3.705,88100.66,54940.33,40939.86,1.02
2013-07-29,3.800,3.820,3.750,3.730,27716.95,-2.09,3.872,3.804,3.714,81089.80,55818.28,41567.39,0.67
2013-07-30,3.760,3.780,3.710,3.640,28303.53,-1.07,3.814,3.796,3.720,51032.52,56459.99,41874.89,0.69
2013-07-31,3.740,3.850,3.760,3.730,36500.38,1.35,3.774,3.799,3.730,39375.95,57935.80,42799.58,0.89
2013-08-01,3.780,3.850,3.850,3.760,47376.97,2.39,3.780,3.814,3.743,36384.80,60886.27,43817.04,1.15
2013-08-02,3.840,3.880,3.850,3.810,42726.02,0.00,3.784,3.844,3.754,36524.77,62312.71,44540.53,1.04
2013-08-05,3.830,3.880,3.880,3.820,28371.05,0.78,3.810,3.841,3.774,36655.59,58872.70,45004.76,0.69
2013-08-06,3.870,4.000,3.970,3.820,66189.41,2.32,3.862,3.838,3.795,44232.77,47632.65,47443.93,1.61
2013-08-07,3.990,4.000,3.910,3.890,57315.36,-1.51,3.892,3.833,3.807,48395.76,43885.86,48815.12,1.39
2013-08-08,3.900,3.950,3.890,3.860,32168.95,-0.51,3.900,3.840,3.814,45354.16,40869.48,47982.56,0.78
2013-08-09,3.880,3.940,3.900,3.840,29834.77,0.26,3.910,3.847,3.826,42775.91,39650.34,47295.33,0.73
2013-08-12,3.910,3.970,3.950,3.880,45181.21,1.28,3.924,3.867,3.836,46137.94,41396.77,48607.52,1.10
2013-08-13,3.940,4.060,4.010,3.940,58310.98,1.52,3.932,3.897,3.847,44562.25,44397.51,50428.75,1.42
2013-08-14,4.050,4.070,4.000,3.960,44998.24,-0.25,3.950,3.921,3.860,42098.83,45247.30,51591.55,1.09
2013-08-15,4.020,4.060,3.970,3.970,41677.16,-0.75,3.966,3.933,3.874,44000.47,44677.31,52781.79,1.01
2013-08-16,3.950,4.020,3.850,3.850,49738.45,-3.02,3.956,3.933,3.889,47981.21,45378.56,53845.64,1.21
2013-08-19,3.840,3.920,3.900,3.810,18735.19,1.30,3.946,3.935,3.888,42692.00,44414.97,51643.83,0.46
2013-08-20,3.880,3.930,3.880,3.860,19195.93,-0.51,3.920,3.926,3.882,34868.99,39715.62,43674.13,0.47
2013-08-21,3.880,3.970,3.940,3.840,31066.33,1.55,3.908,3.929,3.881,32082.61,37090.72,40488.29,0.76
2013-08-22,3.960,3.960,3.930,3.900,30066.26,-0.25,3.900,3.933,3.887,29760.43,36880.45,38874.96,0.73
2013-08-23,3.930,3.940,3.870,3.830,36602.21,-1.53,3.904,3.930,3.889,27133.18,37557.20,38603.77,0.89
2013-08-26,3.870,3.940,3.930,3.840,35242.34,1.55,3.910,3.928,3.898,30434.61,36563.31,38980.04,0.86
2013-08-27,3.930,4.050,4.020,3.910,67115.71,2.29,3.938,3.929,3.913,40018.57,37443.78,40920.65,1.63
2013-08-28,3.980,4.290,4.150,3.960,130561.81,3.23,3.980,3.944,3.933,59917.67,46000.14,45623.72,3.18
2013-08-29,4.070,4.370,4.250,4.040,177437.78,2.41,4.044,3.972,3.953,89391.97,59576.20,52126.76,4.32
2013-08-30,4.210,4.630,4.400,4.180,277276.59,3.53,4.150,4.027,3.980,137526.85,82330.01,63854.29,6.74
2013-09-02,4.320,4.390,4.150,4.020,126159.83,-5.68,4.194,4.052,3.994,155710.34,93072.48,68743.73,3.07
2013-09-03,4.140,4.300,4.200,4.120,85107.25,1.21,4.230,4.084,4.005,159308.65,99663.61,69689.62,2.07
2013-09-04,4.210,4.250,4.230,4.100,64823.85,0.71,4.246,4.113,4.021,146161.06,103039.36,70065.04,1.58
2013-09-05,4.210,4.320,4.260,4.120,103305.55,0.71,4.248,4.146,4.040,131334.61,110363.29,73621.87,2.51
2013-09-06,4.230,4.290,4.210,4.180,68495.98,-1.17,4.210,4.180,4.055,89578.49,113552.67,75554.93,1.67
2013-09-09,4.250,4.300,4.250,4.200,56912.32,0.95,4.230,4.212,4.070,75728.99,115719.67,76141.49,1.38
2013-09-10,4.260,4.300,4.280,4.190,84444.23,0.71,4.246,4.238,4.084,75596.39,117452.52,77448.15,2.05
2013-09-11,4.270,4.360,4.310,4.180,95050.70,0.70,4.262,4.254,4.099,81641.76,113901.41,79950.77,2.31
2013-09-12,4.290,4.680,4.460,4.250,198784.55,3.48,4.302,4.275,4.124,100737.56,116036.09,87806.14,4.83
2013-09-13,4.420,4.440,4.320,4.290,111838.31,-3.14,4.324,4.267,4.147,109406.02,99492.26,90911.14,2.72
2013-09-16,4.310,4.370,4.360,4.280,60288.72,0.93,4.346,4.288,4.170,110081.30,92905.15,92988.81,1.47
2013-09-17,4.320,4.580,4.390,4.300,161343.69,0.69,4.368,4.307,4.196,125461.19,100528.79,100096.20,3.92
2013-09-18,4.360,4.450,4.390,4.340,71210.73,0.00,4.384,4.323,4.218,120693.20,101167.48,102103.42,1.73
2013-09-23,4.390,4.410,4.400,4.320,64730.13,0.23,4.372,4.337,4.242,93882.32,97309.94,103836.61,1.57
2013-09-24,4.400,4.410,4.340,4.290,59768.01,-1.36,4.376,4.350,4.265,83468.26,96437.14,104994.90,1.45
2013-09-25,4.310,4.370,4.270,4.260,58610.31,-1.61,4.358,4.352,4.282,83132.57,96606.94,106163.30,1.43
2013-09-26,4.270,4.270,4.130,4.110,52295.51,-3.28,4.306,4.337,4.288,61322.94,93392.07,105422.29,1.27
2013-09-27,4.120,4.180,4.120,4.100,25044.90,-0.24,4.252,4.318,4.286,52089.77,86391.49,100146.45,0.61
2013-09-30,4.140,4.170,4.160,4.110,16187.96,0.97,4.204,4.288,4.282,42381.34,68131.83,92083.96,0.39
2013-10-08,4.160,4.270,4.260,4.140,31215.21,2.40,4.188,4.282,4.275,36670.78,60069.52,79780.89,0.76
2013-10-09,4.250,4.420,4.390,4.210,80570.86,3.05,4.212,4.285,4.287,41062.89,62097.73,77501.44,1.96
2013-10-10,4.370,4.470,4.330,4.300,65283.50,-1.37,4.252,4.279,4.293,43660.49,52491.71,76510.25,1.59
2013-10-11,4.340,4.420,4.410,4.310,65037.15,1.85,4.310,4.281,4.302,51658.94,51874.35,76520.92,1.58
2013-10-14,4.410,4.440,4.440,4.370,73945.52,0.68,4.366,4.285,4.311,63210.45,52795.89,75052.91,1.80
2013-10-15,4.440,4.470,4.380,4.360,53676.77,-1.35,4.390,4.289,4.320,67702.76,52186.77,74311.95,1.31
2013-10-16,4.390,4.590,4.480,4.300,171851.70,2.28,4.408,4.310,4.331,85958.93,63510.91,80058.92,4.18
2013-10-17,4.520,4.650,4.510,4.340,166035.22,0.67,4.444,4.348,4.343,106109.27,74884.88,84138.47,4.04
2013-10-18,4.460,4.500,4.450,4.200,79715.11,-1.33,4.452,4.381,4.350,109044.86,80351.90,83371.69,1.94
2013-10-21,4.410,4.550,4.510,4.380,90267.46,1.35,4.466,4.416,4.352,112309.25,87759.85,77945.84,2.20
2013-10-22,4.490,4.640,4.620,4.430,148067.45,2.44,4.514,4.452,4.367,131187.39,99445.07,79757.30,3.60
2013-10-23,4.600,4.630,4.430,4.370,88798.98,-4.11,4.504,4.456,4.371,114576.84,100267.89,81182.81,2.16
2013-10-24,4.610,4.780,4.500,4.490,209532.80,1.58,4.502,4.473,4.376,123276.36,114692.82,83592.26,5.10
2013-10-25,4.380,4.440,4.310,4.250,106755.95,-4.22,4.474,4.463,4.372,128684.53,118864.70,85369.53,2.60
2013-10-28,4.280,4.340,4.210,4.140,53752.95,-2.32,4.414,4.440,4.363,121381.63,116845.44,84820.67,1.31
2013-10-29,4.200,4.290,4.090,3.970,58685.20,-2.85,4.308,4.411,4.350,103505.18,117346.28,84766.53,1.43
2013-10-30,4.090,4.150,4.140,4.060,32734.19,1.22,4.250,4.377,4.344,92292.22,103434.53,83472.72,0.80
2013-10-31,4.140,4.230,4.160,4.110,35532.50,0.48,4.182,4.342,4.345,57492.16,90384.26,82634.57,0.86
2013-11-01,4.120,4.190,4.140,4.070,21414.22,-0.48,4.148,4.311,4.346,40423.81,84554.17,82453.04,0.52
2013-11-04,4.130,4.180,4.180,4.130,18557.33,0.97,4.142,4.278,4.347,33384.69,77383.16,82571.50,0.45
2013-11-05,4.170,4.190,4.180,4.100,30620.51,0.00,4.160,4.234,4.343,27771.75,65638.46,82541.77,0.74
2013-11-06,4.170,4.220,4.150,4.130,36273.26,-0.72,4.162,4.206,4.331,28479.56,60385.89,80326.89,0.88
2013-11-07,4.140,4.160,4.060,4.060,29728.30,-2.17,4.142,4.162,4.318,27318.72,42405.44,78549.13,0.72
2013-11-08,4.050,4.110,4.080,3.990,34986.25,0.49,4.130,4.139,4.301,30033.13,35228.47,77046.58,0.85
2013-11-11,4.050,4.110,4.090,4.010,20716.63,0.24,4.112,4.127,4.284,30464.99,31924.84,74385.14,0.50
2013-11-12,4.110,4.140,4.100,4.080,18913.77,0.24,4.096,4.128,4.270,28123.64,27947.70,72646.99,0.46
2013-11-13,4.100,4.160,4.060,4.000,42292.36,-0.98,4.078,4.120,4.249,29327.46,28903.51,66169.02,1.03
2013-11-14,4.030,4.100,4.100,4.020,28273.23,0.98,4.086,4.114,4.228,29036.45,28177.59,59280.92,0.69
2013-11-15,4.080,4.170,4.140,4.080,38502.46,0.98,4.098,4.114,4.213,29739.69,29886.41,57220.29,0.94
2013-11-18,4.150,4.200,4.190,4.120,43610.46,1.21,4.118,4.115,4.197,34318.46,32391.72,54887.44,1.06
2013-11-19,4.190,4.400,4.340,4.180,99453.75,3.58,4.166,4.131,4.183,50426.45,39275.05,52456.75,2.42
2013-11-20,4.310,4.360,4.330,4.230,72262.25,-0.23,4.220,4.149,4.178,56420.43,42873.95,51629.92,1.76
2013-11-21,4.300,4.390,4.330,4.260,69648.94,0.00,4.266,4.176,4.169,64695.57,46866.01,44635.73,1.69
2013-11-22,4.330,4.390,4.300,4.280,47527.40,-0.69,4.298,4.198,4.169,66500.56,48120.13,41674.30,1.16
2013-11-25,4.290,4.340,4.270,4.270,31441.89,-0.70,4.314,4.216,4.172,64066.85,49192.65,40558.74,0.76
2013-11-26,4.260,4.340,4.250,4.220,30114.43,-0.47,4.296,4.231,4.180,50198.98,50312.72,39130.21,0.73
2013-11-27,4.250,4.310,4.290,4.200,46695.78,0.94,4.288,4.254,4.187,45085.69,50753.06,39828.29,1.14
2013-11-28,4.280,4.360,4.330,4.280,46475.53,0.93,4.288,4.277,4.196,40451.01,52573.29,40375.44,1.13
2013-11-29,4.340,4.340,4.280,4.270,30480.73,-1.16,4.284,4.291,4.203,37041.67,51771.12,40828.76,0.74
2013-12-02,4.170,4.220,4.060,4.030,54297.48,-5.14,4.242,4.278,4.197,41612.79,52839.82,42615.77,1.32
2013-12-03,4.070,4.170,4.140,4.060,21235.38,1.97,4.220,4.258,4.195,39836.98,45017.98,42146.51,0.52
2013-12-04,4.160,4.230,4.200,4.130,35086.34,1.45,4.202,4.245,4.197,37515.09,41300.39,42087.17,0.85
2013-12-05,4.200,4.250,4.220,4.180,28643.28,0.48,4.180,4.234,4.205,33948.64,37199.82,42032.92,0.70
2013-12-06,4.210,4.240,4.220,4.170,22266.77,0.00,4.168,4.226,4.212,32305.85,34673.76,41396.94,0.54
2013-12-09,4.210,4.260,4.260,4.210,25732.92,0.95,4.208,4.225,4.221,26592.94,34102.86,41647.76,0.63
2013-12-10,4.260,4.270,4.220,4.170,44308.96,-0.94,4.224,4.222,4.227,31207.65,35522.32,42917.52,1.08
2013-12-11,4.190,4.200,4.130,4.110,33501.27,-2.13,4.210,4.206,4.230,30890.64,34202.87,42477.96,0.81
2013-12-12,4.140,4.170,4.150,4.130,17779.37,0.48,4.196,4.188,4.233,28717.86,31333.25,41953.27,0.43
2013-12-13,4.210,4.210,4.190,4.150,20911.48,0.96,4.190,4.179,4.235,28446.80,30376.33,41073.72,0.51
2013-12-16,4.220,4.230,4.120,4.110,22019.68,-1.67,4.162,4.185,4.232,27704.15,27148.54,39994.18,0.54
2013-12-17,4.140,4.140,4.070,4.050,24056.01,-1.21,4.132,4.178,4.218,23653.56,27430.61,36224.29,0.59
2013-12-18,4.080,4.120,4.080,4.060,13770.68,0.25,4.122,4.166,4.206,19707.44,25299.04,33299.72,0.33
2013-12-19,4.100,4.120,4.030,4.030,23350.07,-1.23,4.098,4.147,4.191,20821.58,24769.72,30984.77,0.57
2013-12-20,4.040,4.070,4.000,3.980,20275.40,-0.74,4.060,4.125,4.176,20694.37,24570.58,29622.17,0.49
2013-12-23,3.990,4.020,3.980,3.920,21203.52,-0.50,4.032,4.097,4.161,20531.14,24117.64,29110.25,0.52
2013-12-24,3.960,4.070,4.020,3.960,12704.93,1.00,4.022,4.077,4.150,18260.92,20957.24,28239.78,0.31
2013-12-25,4.020,4.050,4.040,3.990,11547.82,0.50,4.014,4.068,4.137,17816.35,18761.90,26482.38,0.28
2013-12-26,4.040,4.040,3.940,3.930,18404.42,-2.48,3.996,4.047,4.118,16827.22,18824.40,25078.83,0.45
2013-12-27,3.950,4.010,3.990,3.940,12666.88,1.27,3.994,4.027,4.103,15305.51,17999.94,24188.13,0.31
2013-12-30,4.030,4.070,4.050,4.010,17010.52,1.50,4.008,4.020,4.103,14466.91,17499.03,22323.79,0.41
2013-12-31,4.050,4.070,4.040,4.010,15200.75,-0.25,4.012,4.017,4.098,14966.08,16613.50,22022.05,0.37
2014-01-02,4.030,4.060,4.050,4.020,14728.80,0.25,4.014,4.014,4.090,15602.27,16709.31,21004.18,0.36
2014-01-03,4.050,4.060,4.000,3.950,18088.48,-1.24,4.026,4.011,4.079,15539.09,16183.15,20476.44,0.44
2014-01-06,4.000,4.000,3.860,3.860,20909.66,-3.50,4.000,3.997,4.061,17187.64,16246.58,20408.58,0.51
2014-01-07,3.860,3.890,3.860,3.840,13762.89,0.00,3.962,3.985,4.041,16538.12,15502.52,19810.08,0.33
2014-01-08,3.860,3.890,3.790,3.780,18544.94,-1.81,3.912,3.962,4.020,17206.95,16086.52,18521.88,0.45
2014-01-09,3.790,3.820,3.720,3.710,13945.35,-1.85,3.846,3.930,3.999,17050.26,16326.27,17544.08,0.34
2014-01-10,3.700,3.720,3.620,3.600,19333.03,-2.69,3.770,3.898,3.973,17299.17,16419.13,17621.77,0.47
2014-01-13,3.610,3.730,3.660,3.610,16452.16,1.10,3.730,3.865,3.946,16407.67,16797.66,17398.80,0.40
2014-01-14,3.630,3.760,3.740,3.630,16061.57,2.19,3.706,3.834,3.927,16867.41,16702.76,17100.89,0.39
2014-01-15,3.710,3.790,3.780,3.700,16946.55,1.07,3.704,3.808,3.913,16547.73,16877.34,16745.42,0.41
2014-01-16,3.770,3.810,3.780,3.730,14180.80,0.00,3.716,3.781,3.898,16594.82,16822.54,16765.93,0.34
2014-01-17,3.780,3.790,3.740,3.730,11402.38,-1.06,3.740,3.755,3.883,15008.69,16153.93,16168.54,0.28
2014-01-27,3.900,4.090,3.920,3.900,96933.72,4.81,3.792,3.761,3.879,31105.00,23756.34,20001.46,2.36
2014-01-28,3.920,3.930,3.890,3.830,34473.55,-0.77,3.822,3.764,3.875,34787.40,25827.41,20664.96,0.84
2014-01-29,3.880,3.920,3.900,3.860,25979.93,0.26,3.846,3.775,3.869,36594.08,26570.90,21328.71,0.63
2014-01-30,3.900,3.920,3.880,3.860,13755.27,-0.51,3.866,3.791,3.861,36508.97,26551.90,21439.08,0.33
2014-02-07,3.870,3.920,3.910,3.850,17911.74,0.77,3.900,3.820,3.859,37810.84,26409.77,21414.45,0.44
2014-02-10,3.910,4.010,3.990,3.910,39424.00,2.05,3.914,3.853,3.859,26308.90,28706.95,22752.30,0.96
2014-02-11,3.980,4.090,4.050,3.980,51557.86,1.50,3.946,3.884,3.859,29725.76,32256.58,24479.67,1.25
2014-02-12,4.050,4.100,4.080,4.030,34123.42,0.74,3.982,3.914,3.861,31354.46,33974.27,25425.80,0.83
2014-02-13,4.070,4.180,4.060,4.040,57047.49,-0.49,4.018,3.942,3.862,40012.90,38260.94,27541.74,1.39
2014-02-14,4.050,4.120,4.110,4.040,34456.56,1.23,4.058,3.979,3.867,43321.87,40566.35,28360.14,0.84
2014-02-17,4.110,4.160,4.160,4.090,44176.21,1.22,4.092,4.003,3.882,44272.31,35290.60,29523.47,1.07
2014-02-18,4.160,4.160,4.110,4.110,32145.62,-1.20,4.104,4.025,3.895,40389.86,35057.81,30442.61,0.78
2014-02-19,4.110,4.180,4.150,4.090,44540.17,0.97,4.118,4.050,3.913,42473.21,36913.83,31742.37,1.08
2014-02-20,4.150,4.170,4.090,4.070,34083.11,-1.45,4.124,4.071,3.931,37880.33,38946.62,32749.26,0.83
2014-02-21,4.100,4.110,4.040,4.000,28878.09,-1.22,4.110,4.084,3.952,36764.64,40043.25,33226.51,0.70
2014-02-24,4.020,4.040,4.030,3.970,22413.33,-0.25,4.084,4.088,3.971,32412.06,38342.19,33524.57,0.55
2014-02-25,4.020,4.070,3.910,3.900,35783.30,-2.98,4.044,4.074,3.979,33139.60,36764.73,34510.66,0.87
2014-02-26,3.910,3.930,3.930,3.850,15807.65,0.51,4.000,4.059,3.987,27393.10,34933.15,34453.71,0.38
2014-02-27,3.920,3.970,3.930,3.900,15580.62,0.00,3.968,4.046,3.994,23692.60,30786.47,34523.70,0.38
2014-02-28,3.920,3.980,3.980,3.860,17878.32,1.27,3.956,4.033,4.006,21492.64,29128.64,34847.50,0.43
